filename,title,description,feature,topic,role,level
help/interface/attributes/faq-crs.md,Get answers to frequently asked questions about Customer Attributes ,"Frequently asked questions about Customer attributes in Adobe Experience Cloud, for Adobe Analytics and Adobe Target.",,,,
help/interface/attributes/crs-data-file.md,Learn about data file and data sources for Customer Attributes ,Data file requirements and multiple data sources for uploading Customer Attributes to the Adobe Experience Cloud.,,,,
help/interface/attributes/t-crs-usecase.md,Create a customer attribute source and upload the data file ,Learn how to create the customer attribute source and upload it to the Adobe Experience Cloud.,,,,
help/interface/attributes/t-upload-attributes-ftp.md,Upload the customer attribute data file via FTP ,"If you do not upload using drag-and-drop, you can upload customer attribute data via FTP to the Experience Cloud.",,,,
help/interface/attributes/validate-schema.md,How to validate the customer attribute schema ,Learn how to validate the customer attribute schema in Adobe Experience Cloud.,,,,
help/interface/attributes/subscription.md,How to configure subscriptions ,Learn about solution data sources and configuring subscriptions. Subscriptions enable the customer attribute data flow between the Experience Cloud and solutions (Analytics and Target).,,,,
help/interface/attributes/t-update-schema.md,Update the schema (delete an attribute) ,How to delete and replace attributes in the schema in Adobe Experience Cloud.,,,,
help/interface/attributes/gdpr.md,Customer Attributes Support for General Data Protection Regulation ,Learn about Customer Attributes Support for General Data Protection Regulation,,,,
help/interface/attributes/ccpa.md,Customer Attributes Support for California Consumer Privacy Act ,Customer Attributes Support for California Consumer Privacy Act,,,,
help/interface/attributes/privacy-mac.md,Privacy considerations for Customer Attributes ,Considerations and best practices regarding personally identifiable information (PII) uploaded and used in the Adobe Experience Cloud.,,,,
help/interface/marketing-cloud-interface/release-notes.md,Cumulative release notes ,"Features, release notes, and known issues for the Experience Cloud interface.",,,,
help/interface/exchange.md,Exchange Marketplace ,"Learn about the Exchange Marketplace, a single destination where you can search, browse, select, pay, and download Digital Marketing extensions via apps.",,,,
help/interface/terms.md,Terminology ,Learn about terms in Adobe Experience Cloud and how they're different in Creative Cloud.,,,,
help/interface/dns-prefetch.md,Using DNS prefetch with different solutions and services ,How to implement DNS prefetch to help reduce page load times with different solutions and services in Adobe Experience Cloud.,,,,
help/interface/doc-updates.md,Documentation updates - Experience Cloud ,Information about updates to Adobe Experience Cloud help.,,,,
