deeplink     ,uuid                                  ,marketing loc                                                                                                         ,docs loc                                                                                                                                                                                              ,xml src                                                                                                                                                                                               ,md src                                                                                                                
             ,5666dc4e-55fa-4196-9985-cf530cfb9247  ,https://marketing-stage.adobe.com/resources/help/en_US/mcloud/privacy_mac.html,https://docs.adobe.com/content/help/en/core-services/interface/customer-attributes/privacy-mac.html                                                                                                   ,                                                                                                                                                                                                      ,help/interface/attributes/privacy-mac.md                                                                              
             ,f74a8155-0a21-46b3-9b1e-4c838f72f24f  ,https://marketing-stage.adobe.com/resources/help/en_US/mcloud/subscription.html,https://docs.adobe.com/content/help/en/core-services/interface/customer-attributes/subscription.html                                                                                                  ,                                                                                                                                                                                                      ,help/interface/attributes/subscription.md                                                                             
             ,53dca789-9a91-4385-839d-c9d1aa36b9be  ,https://marketing-stage.adobe.com/resources/help/en_US/mcloud/t_crs_usecase.html,https://docs.adobe.com/content/help/en/core-services/interface/customer-attributes/t-crs-usecase.html                                                                                                 ,                                                                                                                                                                                                      ,help/interface/attributes/t-crs-usecase.md                                                                            
             ,a465fa89-6c7f-4c07-aa59-84c968a82917  ,https://marketing-stage.adobe.com/resources/help/en_US/mcloud/t_update-schema.html,https://docs.adobe.com/content/help/en/core-services/interface/customer-attributes/t-update-schema.html                                                                                               ,                                                                                                                                                                                                      ,help/interface/attributes/t-update-schema.md                                                                          
             ,5df565dd-b6f8-420e-981f-4b6fc6f7d0e4  ,https://marketing-stage.adobe.com/resources/help/en_US/mcloud/t_upload_attributes_ftp.html,https://docs.adobe.com/content/help/en/core-services/interface/customer-attributes/t-upload-attributes-ftp.html                                                                                       ,                                                                                                                                                                                                      ,help/interface/attributes/t-upload-attributes-ftp.md                                                                  
             ,163a4dbe-d60b-4089-8ff8-65f7461fbdf7  ,https://marketing-stage.adobe.com/resources/help/en_US/mcloud/validate_schema.html,https://docs.adobe.com/content/help/en/core-services/interface/customer-attributes/validate-schema.html                                                                                               ,                                                                                                                                                                                                      ,help/interface/attributes/validate-schema.md                                                                          
             ,73db5cc5-5fb2-43a2-a164-5cbca9e9a206  ,https://marketing-stage.adobe.com/resources/help/en_US/mcloud/exchange.html,https://docs.adobe.com/content/help/en/core-services/interface/exchange.html                                                                                                                          ,                                                                                                                                                                                                      ,help/interface/exchange.md                                                                                            
             ,aec6f689-e617-4876-ae6c-e961cfcb991a  ,https://marketing-stage.adobe.com/resources/help/en_US/mcloud/experience-cloud.html,https://docs.adobe.com/content/help/en/core-services/interface/experience-cloud.html                                                                                                                  ,                                                                                                                                                                                                      ,help/interface/experience-cloud.md                                                                                    
             ,7ff327d1-5a74-49fb-8c3c-729034818ebc  ,https://marketing-stage.adobe.com/resources/help/en_US/mcloud/feed.html,https://docs.adobe.com/content/help/en/core-services/interface/feed.html                                                                                                                              ,                                                                                                                                                                                                      ,help/interface/feed.md                                                                                                
             ,3ed0b4eb-690f-4c14-a31c-0cc1118fb3b4  ,https://marketing-stage.adobe.com/resources/help/en_US/mcloud/faq.html,https://docs.adobe.com/content/help/en/core-services/interface/manage-users-and-products/faq.html                                                                                                     ,                                                                                                                                                                                                      ,help/interface/admin-getting-started/faq.md                                                                           
             ,13b29be9-1d4f-4bf5-900f-9489d3e042d7  ,https://marketing-stage.adobe.com/resources/help/en_US/mcloud/oembed.html,https://docs.adobe.com/content/help/en/core-services/interface/manage-users-and-products/oembed.html                                                                                                  ,                                                                                                                                                                                                      ,help/interface/admin-getting-started/oembed.md                                                                        
             ,450a601c-d199-4e90-b525-19bd9f9576d2  ,https://marketing-stage.adobe.com/resources/help/en_US/mcloud/upgrade-to-analytics-premium.html,https://docs.adobe.com/content/help/en/core-services/interface/manage-users-and-products/upgrade-to-analytics-premium.html                                                                            ,                                                                                                                                                                                                      ,help/interface/admin-getting-started/upgrade-to-analytics-premium.md                                                  
             ,a9893c6b-bccc-4fb5-b724-724644c7def5  ,https://marketing-stage.adobe.com/resources/help/en_US/mcloud/marketing-cloud-integrations.html,https://docs.adobe.com/content/help/en/core-services/interface/marketing-cloud-integrations.html                                                                                                      ,                                                                                                                                                                                                      ,help/interface/marketing-cloud-integrations.md                                                                        
             ,4220e223-e00e-46b1-8bde-52248913bea1  ,https://marketing-stage.adobe.com/resources/help/en_US/mcloud/dns-prefetch.html,https://docs.adobe.com/content/help/en/core-services/interface/more-resources/dns-prefetch.html                                                                                                       ,                                                                                                                                                                                                      ,help/interface/dns-prefetch.md                                                                                        
             ,f41c4e9f-e784-4706-8c4b-f430c953670d  ,https://marketing-stage.adobe.com/resources/help/en_US/mcloud/doc_updates.html,https://docs.adobe.com/content/help/en/core-services/interface/more-resources/doc-updates.html                                                                                                        ,                                                                                                                                                                                                      ,help/interface/doc-updates.md                                                                                         
             ,30253c0d-944b-4e15-b9af-093afa3ddc17  ,https://marketing-stage.adobe.com/resources/help/en_US/mcloud/terms.html,https://docs.adobe.com/content/help/en/core-services/interface/more-resources/terms.html                                                                                                              ,                                                                                                                                                                                                      ,help/interface/terms.md                                                                                               
